2019-11-08 15:28:20.2157 | INFO | Auto configuration: True
2019-11-08 15:28:20.5092 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:28:20.6643 | INFO | RestService stopped
2019-11-08 15:28:20.7081 | INFO | Auto configuration: True
2019-11-08 15:28:20.7271 | INFO | Service started
2019-11-08 15:28:20.9573 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:33:44.0174 | INFO | Auto configuration: True
2019-11-08 15:33:44.3205 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:33:44.4771 | INFO | RestService stopped
2019-11-08 15:33:44.4851 | INFO | Auto configuration: True
2019-11-08 15:33:44.5020 | INFO | Service started
2019-11-08 15:33:44.7226 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:35:11.0295 | INFO | RestService stopped
2019-11-08 15:35:11.0426 | INFO | RestService stopped
2019-11-08 15:35:13.4948 | INFO | Auto configuration: True
2019-11-08 15:35:13.7900 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:35:13.9339 | INFO | RestService stopped
2019-11-08 15:35:13.9339 | INFO | Auto configuration: True
2019-11-08 15:35:13.9952 | INFO | Service started
2019-11-08 15:35:14.2057 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:36:45.3175 | INFO | Auto configuration: True
2019-11-08 15:36:45.5928 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:36:45.7294 | INFO | RestService stopped
2019-11-08 15:36:45.7294 | INFO | Auto configuration: True
2019-11-08 15:36:45.7703 | INFO | Service started
2019-11-08 15:36:45.9716 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:44:19.4860 | INFO | Auto configuration: True
2019-11-08 15:44:19.8116 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:44:19.9662 | INFO | RestService stopped
2019-11-08 15:44:19.9742 | INFO | Auto configuration: True
2019-11-08 15:44:19.9941 | INFO | Service started
2019-11-08 15:44:20.2121 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:46:32.4441 | INFO | Auto configuration: True
2019-11-08 15:46:32.7154 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:46:32.8551 | INFO | RestService stopped
2019-11-08 15:46:32.8830 | INFO | Auto configuration: True
2019-11-08 15:46:32.8830 | INFO | Service started
2019-11-08 15:46:33.0994 | INFO | RestService started at http://localhost:8888/
